2022-04-19 22:11:26.571459: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
Epoch 291. Train Loss: 0.037047, Train Acc: 0.995360, Time 00:00:03
Epoch 292. Train Loss: 0.034214, Train Acc: 0.994965, Time 00:00:03
Epoch 293. Train Loss: 0.034226, Train Acc: 0.995558, Time 00:00:03
Epoch 294. Train Loss: 0.033683, Train Acc: 0.995064, Time 00:00:03
Epoch 295. Train Loss: 0.034190, Train Acc: 0.995854, Time 00:00:03
Epoch 296. Train Loss: 0.036523, Train Acc: 0.994373, Time 00:00:03
Epoch 297. Train Loss: 0.033655, Train Acc: 0.996051, Time 00:00:03
Epoch 298. Train Loss: 0.034863, Train Acc: 0.994768, Time 00:00:03
Epoch 299. Train Loss: 0.033008, Train Acc: 0.996249, Time 00:00:03
Epoch 300. Train Loss: 0.037616, Train Acc: 0.994472, Time 00:00:03
